,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0099,2,5,0,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,0,4,1,2,0,0,0,0,0,0,0,0,3,0
Otu0100,6,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,5,13,0,0,0,0,0,0,0,0,0,0,0,0
Otu0101,1,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Otu0102,2,10,1,13,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,11,0,0,0,0,0,0,0,1,0,0,0,0
Otu0103,0,0,0,1,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,3,20,0,0,3,1,0,0,0,0,0,0,2,0
Otu0104,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Otu0105,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,10,0,0,0,0,0,0,0,0,0,0,0,0
Otu0106,0,8,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,22,0,0,0,0,0,0,0,3,0,0,0,0
Otu0107,6,15,2,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,3,0,0,0,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Otu0108,3,2,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Otu0109,3,6,0,7,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0
Otu0110,0,7,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,13,0,0,0,0,0,0,0,0,0,0,0,0
Otu0111,0,4,0,8,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,3,6,7,4,0,0,0,2,0,0,0,0,0,0,0,0
Otu0112,2,3,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Otu0113,4,14,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Otu0114,7,20,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Otu0115,2,5,0,6,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,3,0,0,0,0,0
Otu0116,0,6,0,9,1,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,6,0,0,1,0,0,0,0,2,0,0,0,0
Otu0117,4,11,0,11,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0
